District,Total,Hospital,Home,Hospital Today,Quarantine Status as on 03/06/2020
Pondicherry,4274,2616,1658,85,Quarantine Status as on 03/06/2020
Karaikal,2773,44,2729,0,Quarantine Status as on 03/06/2020
Mahe,1016,32,984,0,Quarantine Status as on 03/06/2020
Yanam,912,17,895,0,Quarantine Status as on 03/06/2020
Total,8975,2709,6266,85,Quarantine Status as on 03/06/2020
https://covid19dashboard.py.gov.in/QuarantineReport
