District,Total,Hospital,Home,Hospital Today,Quarantine Status as on 31/05/2020
Pondicherry,4400,2420,1980,38,Quarantine Status as on 31/05/2020
Karaikal,2888,44,2844,0,Quarantine Status as on 31/05/2020
Mahe,958,32,926,3,Quarantine Status as on 31/05/2020
Yanam,913,17,896,0,Quarantine Status as on 31/05/2020
Total,9159,2513,6646,41,Quarantine Status as on 31/05/2020
https://covid19dashboard.py.gov.in/QuarantineReport
