State, Last Updated, Samples Tested, Samples Positive, Samples Negative, Results Awaited, Total Confirmed, Total Active, Total Discharged, State url
Arunachal Pradesh, 24/05/2020, 5428, 3, 4552,873,,0,,http://covid19.itanagarsmartcity.in/covidstatus.php
Gujarat, 25/05/2020  8:18:10 PM,186360,14460,,,14460,,6636,442597,https://gujcovid19.gujarat.gov.in/
Kerala, 25-05-2020,54899,896,53704,299,896,359,532,https://dashboard.kerala.gov.in/index.php
Odisha, Updated @ 03:28 PM on 25th May ,127776,1.13 %,98.87 %,,1438,782,649,https://statedashboard.odisha.gov.in/
Puducherry, Last Updated: 24-05-2020,6536,45,6444,47,41,29,12,https://covid19dashboard.py.gov.in/
Chandigarh, 25/05/2020,4089,266,3695,127,266,,187,http://chdcovid19.in/
Andhra Pradesh, 25/05/2020, 314566, 2671,311680,,2671,767, 1848,http://hmfw.ap.gov.in/covid_dashboard.aspx
Nagaland, 25/05/2020,1366,3,1078,283,https://covid19.nagaland.gov.in/
Rajasthan, As on 25.05.2020 at 02:00 PM,327836,7173,318146,2517,7173,,3860,http://www.rajswasthya.nic.in/
