District,Total,Hospital,Home,Hospital Today,Quarantine Status as on 27/05/2020
Pondicherry,4237,2255,1982,57,Quarantine Status as on 27/05/2020
Karaikal,2722,44,2678,1,Quarantine Status as on 27/05/2020
Mahe,844,27,817,0,Quarantine Status as on 27/05/2020
Yanam,812,17,795,0,Quarantine Status as on 27/05/2020
Total,8615,2343,6272,58,Quarantine Status as on 27/05/2020
https://covid19dashboard.py.gov.in/QuarantineReport
