District,Total,Hospital,Home,Hospital Today,Quarantine Status as on 25/05/2020
Pondicherry,4120,2134,1986,40,Quarantine Status as on 25/05/2020
Karaikal,2628,43,2585,0,Quarantine Status as on 25/05/2020
Mahe,770,27,743,0,Quarantine Status as on 25/05/2020
Yanam,746,17,729,3,Quarantine Status as on 25/05/2020
Total,8264,2221,6043,43,Quarantine Status as on 25/05/2020
https://covid19dashboard.py.gov.in/QuarantineReport
