State, Last Updated, Samples Tested, Samples Positive, Samples Negative, Results Awaited, Total Confirmed, Total Active, Total Discharged, State url
Andhra Pradesh, 26/05/2020, 322714, 2719,319731,,2719,759, 1903,http://hmfw.ap.gov.in/covid_dashboard.aspx
Arunachal Pradesh, 26-May-2020(19:27 Hrs), 6319, 1233, 5086,5083,,2,,http://covid19.itanagarsmartcity.in/covidstatus.php
Chandigarh, 26/05/2020,4207,278,3828,100,278,,187,http://chdcovid19.in/
Gujarat, 26/05/2020 10:18:56 PM,189313,14821,,,14821,,7137,364603,https://gujcovid19.gujarat.gov.in/
Kerala, 25-05-2020,54899,896,53704,299,963,415,542,https://dashboard.kerala.gov.in/index.php
Nagaland, 26/05/2020,1366,4,1080,282,https://covid19.nagaland.gov.in/
Odisha, Updated @ 03:06 PM on 26th May ,131595,1.15 %,98.85 %,,1517,777,733,https://statedashboard.odisha.gov.in/
Puducherry, Last Updated: 25-05-2020,6606,47,6537,22,43,31,12,https://covid19dashboard.py.gov.in/
Rajasthan, As on 26.05.2020 at 09:00 PM,337159,7536,326368,3255,7536,,4276,http://www.rajswasthya.nic.in/
