District,Total,Hospital,Home,Hospital Today,Quarantine Status as on 28/05/2020
Pondicherry,4198,2306,1892,51,Quarantine Status as on 28/05/2020
Karaikal,2764,44,2720,0,Quarantine Status as on 28/05/2020
Mahe,869,27,842,0,Quarantine Status as on 28/05/2020
Yanam,833,17,816,0,Quarantine Status as on 28/05/2020
Total,8664,2394,6270,51,Quarantine Status as on 28/05/2020
https://covid19dashboard.py.gov.in/QuarantineReport
