State, Last Updated, Samples Tested, Samples Positive, Samples Negative, Results Awaited, Total Confirmed, Total Active, Total Dischargedl, url
Arunachal Pradesh, 28-May-2020(22:37 Hrs), 6984, 3, 5677,1303,3,2,1,http://covid19.itanagarsmartcity.in/covidstatus.php
Kerala, 29-05-2020,62746,1150,60448,1148,1150,577,565,https://dashboard.kerala.gov.in/index.php
Nagaland, 29/05/2020,,,,,25,25,0,https://covid19.nagaland.gov.in/
Odisha, Updated @ 04:30 PM on 29th May ,143570,1.2 %,98.8 %,,1723,737,977,https://statedashboard.odisha.gov.in/
Puducherry, Last Updated: 28-05-2020,6917,61,6826,29,53,37,16,https://covid19dashboard.py.gov.in/
Rajasthan, As on 29.05.2020 at 10.30 AM,365556,8158,351861,5537,8158,,4855,http://www.rajswasthya.nic.in/
