District,Total,Hospital,Home,Hospital Today,Quarantine Status as on 05/06/2020
Pondicherry,4585,2705,1880,47,Quarantine Status as on 05/06/2020
Karaikal,2769,44,2725,0,Quarantine Status as on 05/06/2020
Mahe,933,33,900,1,Quarantine Status as on 05/06/2020
Yanam,871,17,854,0,Quarantine Status as on 05/06/2020
Total,9158,2799,6359,48,Quarantine Status as on 05/06/2020
https://covid19dashboard.py.gov.in/QuarantineReport
