District,Total,Hospital,Home,Hospital Today,Quarantine Status as on 29/05/2020
Pondicherry,4358,2345,2013,39,Quarantine Status as on 29/05/2020
Karaikal,2835,44,2791,0,Quarantine Status as on 29/05/2020
Mahe,902,28,874,1,Quarantine Status as on 29/05/2020
Yanam,854,17,837,0,Quarantine Status as on 29/05/2020
Total,8949,2434,6515,40,Quarantine Status as on 29/05/2020
https://covid19dashboard.py.gov.in/QuarantineReport
