70261,,18/06/2020,,,,Amravati,Maharashtra,MH,5,Recovered,,,,,,,,,99630
70262,,18/06/2020,,,,Yavatmal,Maharashtra,MH,3,Recovered,,,,,,,,,99631
70263,,18/06/2020,,,,Buldhana,Maharashtra,MH,8,Recovered,,,,,,,,,99632
70264,,18/06/2020,,,,Washim,Maharashtra,MH,1,Recovered,,,,,,,,,99633
70265,,18/06/2020,,,,Nagpur,Maharashtra,MH,4,Recovered,,,,,,,,,99634
70266,,18/06/2020,,,,Chandrapur,Maharashtra,MH,1,Recovered,,,,,,,,,99635
70267,,18/06/2020,,,,,Maharashtra,MH,-1672,Recovered,,,,,,,,,99636
70268,,18/06/2020,,,,Mumbai,Maharashtra,MH,67,Deceased,,,,,,,,,99637
70269,,18/06/2020,,,,Thane,Maharashtra,MH,31,Deceased,,,,,,,,,99638
70270,,18/06/2020,,,,Palghar,Maharashtra,MH,1,Deceased,,,,,,,,,99639
70271,,18/06/2020,,,,Nagpur,Maharashtra,MH,1,Deceased,,,,,,,,,99640
70272,,18/06/2020,,,,,Maharashtra,MH,-100,Deceased,,,,,,,,,99641
